sourceAppName,externalShopId,externalVehicleId,externalCustomerId,year,make,model,engine,vin,licensePlate,licenseState,licenseCountry,odometerCode
Tekmetric,15522,VEH-201,CUST-101,2020,Toyota,Camry,2.5L I4,VIN201SAMPLE,7ABC123,CA,USA,MI
Tekmetric,15522,VEH-202,CUST-102,2018,Honda,CR-V,1.5L Turbo I4,VIN202SAMPLE,8DEF456,CA,USA,MI
Tekmetric,15522,VEH-203,CUST-102,2022,Ford,F-150,5.0L V8,VIN203SAMPLE,9GHI789,CA,USA,MI
Tekmetric,15522,VEH-204,CUST-103,2021,Nissan,Altima,2.5L I4,VIN204SAMPLE,7JKL012,CA,USA,MI
Tekmetric,15522,VEH-205,CUST-104,2019,Chevrolet,Silverado,5.3L V8,VIN205SAMPLE,8MNO345,CA,USA,MI
Tekmetric,15522,VEH-206,CUST-105,2023,Tesla,Model 3,Electric,VIN206SAMPLE,9PQR678,NY,USA,MI
Tekmetric,15522,VEH-207,CUST-106,2017,Jeep,Grand Cherokee,3.6L V6,VIN207SAMPLE,7STU901,NY,USA,MI
Tekmetric,15522,VEH-208,CUST-107,2020,Hyundai,Elantra,2.0L I4,VIN208SAMPLE,8VWX234,TX,USA,MI
Tekmetric,15522,VEH-209,CUST-108,2016,GMC,Sierra,6.2L V8,VIN209SAMPLE,9YZA567,TX,USA,MI
Tekmetric,15522,VEH-210,CUST-108,2021,Kia,Telluride,3.8L V6,VIN210SAMPLE,7BCD890,TX,USA,MI
Tekmetric,15522,VEH-211,CUST-109,2019,Subaru,Outback,2.5L H4,VIN211SAMPLE,8EFG123,FL,USA,MI
Tekmetric,15522,VEH-212,CUST-110,2022,BMW,X5,3.0L Turbo I6,VIN212SAMPLE,9HIJ456,FL,USA,MI
Tekmetric,15522,VEH-213,CUST-110,2018,Mercedes-Benz,C-Class,2.0L Turbo I4,VIN213SAMPLE,7KLM789,FL,USA,MI
Tekmetric,15522,VEH-214,CUST-101,2021,Lexus,RX 350,3.5L V6,VIN214SAMPLE,8NOP012,CA,USA,MI
Tekmetric,15522,VEH-215,CUST-104,2020,Ford,Explorer,2.3L Turbo I4,VIN215SAMPLE,9QRS345,CA,USA,MI
